war,mission_id,mission_date,country,aircraft_type,planes,bombload,target_location,target_country,latitude,longitude,weapon_type
WWI,1,10/16/1917,UK,AIRCO DH4 DAY BOMBER,8,224.0,SAARBRUCKEN,GERMANY,49.233333,7.0,
WWI,2,10/20/1917,UK,AIRCO DH4 DAY BOMBER,11,224.0,WADGASSEN & BOUS,GERMANY,49.266667,6.783333,
WWI,3,10/23/1917,UK,FE2B,12,277.9166667,"SAARBRUCKEN, ETC",GERMANY,49.233333,7.0,
WWI,4,10/23/1917,UK,HADLEY PAGE O/100,7,1344.0,"SAARBRUCKEN, ETC",GERMANY,49.233333,7.0,
WWI,5,10/28/1917,UK,FE2B,3,305.0,SAARBRUCKEN & OTHERS,GERMANY,49.233333,7.0,
WWI,6,10/29/1917,UK,AIRCO DH4 DAY BOMBER,12,226.0,PIRMASENS,GERMANY,49.2037161,7.6047455,
WWI,8,10/31/1917,UK,AIRCO DH4 DAY BOMBER,6,227.0,KAISERSLAUTERN,GERMANY,49.4446997,7.7690041,
WWI,9,12/4/1917,UK,AIRCO DH4 DAY BOMBER,11,221.8181818,SAARBRUCKEN & ZWEIBRUCKEN,GERMANY,49.233333,7.0,
WWI,10,12/5/1917,UK,AIRCO DH4 DAY BOMBER,11,218.7272727,SAARBRUCKEN,GERMANY,49.233333,7.0,
WWI,11,12/10/1917,UK,AIRCO DH4 DAY BOMBER,7,227.7142857,PIRMASENS,GERMANY,49.2037161,7.6047455,
WWI,12,12/23/1917,UK,AIRCO DH4 DAY BOMBER,10,225.2,MANNHEIM,GERMANY,49.488333,8.464722,
WWI,13,1/2/1918,UK,FE2B,5,238.0,"METZ, MAZIERES, WOIPPY",FRANCE,49.115461,6.175875,
WWI,14,1/3/1918,UK,FE2B,8,377.5,5 SITES W/I 20 NM OF METZ,FRANCE,49.119666,6.176905,
WWI,15,1/4/1918,UK,FE2B,6,376.6666667,CONFLANS & MARS,FRANCE,49.16768,5.848631,
WWI,16,1/4/1918,UK,HADLEY PAGE O/100,1,1344.0,COURCELLES,FRANCE,49.066651,6.308383,
WWI,17,1/13/1918,UK,AIRCO DH4 DAY BOMBER,12,229.3333333,KARLSRUHE,GERMANY,49.0080848,8.4037563,
WWI,18,1/13/1918,UK,FE2B,6,365.8333333,THIONVILLE,FRANCE,49.356794,6.167606,
WWI,20,1/20/1918,UK,FE2B,11,319.0909091,"THIONVILLE, BEMSDORF, FALKNBG",FRANCE,49.356794,6.167606,
WWI,21,1/20/1918,UK,HADLEY PAGE O/100,1,1344.0,ARNAVILLE,FRANCE,49.011487,6.030617,
WWI,22,1/23/1918,UK,FE2B,10,259.4,"TREVES, THIONVILLE, ETC",FRANCE,45.538718,4.675828,
WWI,23,1/23/1918,UK,HADLEY PAGE O/100,2,1344.0,MANNHEIM,GERMANY,49.488333,8.464722,
WWI,24,1/26/1918,UK,AIRCO DH4 DAY BOMBER,7,193.7142857,TREVES,FRANCE,45.538718,4.675828,
WWI,25,2/8/1918,UK,FE2B,3,320.6666667,COURCELLES,FRANCE,49.066651,6.308383,
WWI,26,2/11/1918,UK,AIRCO DH4 DAY BOMBER,12,236.5,OFFENBURG,GERMANY,48.45,7.916667,
WWI,27,2/15/1918,UK,FE2B,5,341.6,CONFLANS,FRANCE,49.1641817,5.872321129,
WWI,28,2/15/1918,UK,HADLEY PAGE O/100,0,0.0,CONFLANS,FRANCE,49.1641817,5.872321129,
WWI,30,2/17/1918,UK,FE2B,6,365.3333333,CONFLANS,FRANCE,49.1641817,5.872321129,
WWI,31,2/17/1918,UK,HADLEY PAGE O/100,0,0.0,UNKNOWN,GERMANY,0.0,0.0,
WWI,32,2/18/1918,UK,AIRCO DH4 DAY BOMBER,9,241.7777778,THIONVILLE & TREVES,FRANCE,49.356794,6.167606,
WWI,33,2/18/1918,UK,FE2B,10,285.6,TREVES & THIONVILLE,FRANCE,45.538718,4.675828,
WWI,34,2/18/1918,UK,HADLEY PAGE O/100,0,0.0,UNKNOWN,GERMANY,0.0,0.0,
WWI,35,2/19/1918,UK,AIRCO DH4 DAY BOMBER,11,226.0,TREVES,FRANCE,45.538718,4.675828,
WWI,37,2/19/1918,UK,HADLEY PAGE O/100,2,1456.0,THIONVILLE,FRANCE,49.356794,6.167606,
WWI,38,2/20/1918,UK,AIRCO DH4 DAY BOMBER,8,237.5,PIRMASENS,GERMANY,49.2037161,7.6047455,
WWI,39,2/26/1918,UK,FE2B,9,349.3333333,FRESCATY,FRANCE,49.115461,6.175875,
WWI,40,2/26/1918,UK,HADLEY PAGE O/100,1,1344.0,TREVES,FRANCE,45.538718,4.675828,
WWI,41,3/6/1918,UK,FE2B,1,395.0,FRESCATY,FRANCE,49.115461,6.175875,
WWI,42,3/9/1918,UK,AIRCO DH4 DAY BOMBER,11,230.1818182,MAINZ,GERMANY,50.0,8.271111,
WWI,43,3/10/1918,UK,AIRCO DH4 DAY BOMBER,11,258.3636364,STUTTGART,GERMANY,48.766667,9.183333,
WWI,44,3/12/1918,UK,AIRCO DH4 DAY BOMBER,9,272.2222222,COBLENZ,GERMANY,50.3566962,7.5996166,
WWI,45,3/13/1918,UK,AIRCO DH4 DAY BOMBER,8,248.0,FREIBURQ,GERMANY,47.9971865,7.8537668,
WWI,46,3/16/1918,UK,AIRCO DH4 DAY BOMBER,7,268.2857143,ZWEIBRUCKEN,GERMANY,49.25,7.366667,
WWI,47,3/17/1918,UK,AIRCO DH4 DAY BOMBER,9,287.2222222,KAISERSLAUTERN,GERMANY,49.4446997,7.7690041,
WWI,48,3/18/1918,UK,AIRCO DH4 DAY BOMBER,9,260.6666667,MANNHEIM,GERMANY,49.488333,8.464722,
